year,round,grid,qualifying_position,driver_standing_pos,driver_points_cum,driver_wins_cum,constructor_standing_pos,constructor_points_cum,constructor_wins_cum,country,positionOrder,points,laps,rank,statusId,podium,position_class,finish_pos_penalty
2008,1,1,1.0,1.0,10.0,1.0,1.0,14.0,1.0,Australia,1,10.0,58,2.0,1,1,0,1
2008,1,5,5.0,2.0,8.0,0.0,3.0,8.0,0.0,Australia,2,8.0,58,3.0,1,1,1,2
2008,1,7,7.0,3.0,6.0,0.0,2.0,9.0,0.0,Australia,3,6.0,58,5.0,1,1,1,3
2008,1,11,12.0,4.0,5.0,0.0,4.0,5.0,0.0,Australia,4,5.0,58,7.0,1,0,2,4
2008,1,3,3.0,5.0,4.0,0.0,1.0,14.0,1.0,Australia,5,4.0,58,1.0,1,0,2,5
2008,1,13,14.0,6.0,3.0,0.0,2.0,9.0,0.0,Australia,6,3.0,57,14.0,11,0,2,6
2008,1,17,18.0,7.0,2.0,0.0,5.0,2.0,0.0,Australia,7,2.0,55,8.0,5,0,2,7
2008,1,15,16.0,8.0,1.0,0.0,6.0,1.0,0.0,Australia,8,1.0,53,4.0,5,0,2,8
2008,1,2,2.0,,,,3.0,8.0,0.0,Australia,9,0.0,47,9.0,4,0,2,9
2008,1,18,9.0,,,,,,,Australia,10,0.0,43,13.0,3,0,2,10
2008,1,19,20.0,,,,,,,Australia,11,0.0,32,15.0,7,0,3,11
2008,1,20,21.0,,,,4.0,5.0,0.0,Australia,12,0.0,30,16.0,8,0,3,12
2008,1,4,4.0,,,,6.0,1.0,0.0,Australia,13,0.0,29,6.0,5,0,3,13
2008,1,8,8.0,,,,,,,Australia,14,0.0,25,11.0,4,0,3,14
2008,1,6,6.0,,,,,,,Australia,15,0.0,19,10.0,10,0,3,15
2008,1,22,19.0,,,,,,,Australia,16,0.0,8,17.0,9,0,3,16
2008,1,14,15.0,,,,,,,Australia,17,0.0,0,,4,0,3,17
2008,1,12,13.0,,,,,,,Australia,18,0.0,0,,4,0,3,18
2008,1,21,22.0,,,,,,,Australia,19,0.0,0,,4,0,3,19
2008,1,9,10.0,,,,5.0,2.0,0.0,Australia,20,0.0,0,,4,0,3,20
2008,1,16,17.0,,,,,,,Australia,21,0.0,0,,4,0,3,20
2008,1,10,11.0,,,,,,,Australia,22,0.0,58,8.0,2,0,3,20
2008,2,2,2.0,2.0,11.0,1.0,3.0,11.0,1.0,Malaysia,1,10.0,56,2.0,1,1,0,1
2008,2,4,6.0,5.0,8.0,0.0,2.0,19.0,0.0,Malaysia,2,8.0,56,6.0,1,1,1,2
2008,2,8,3.0,4.0,10.0,0.0,1.0,24.0,1.0,Malaysia,3,6.0,56,7.0,1,1,1,3
2008,2,3,5.0,8.0,5.0,0.0,6.0,5.0,0.0,Malaysia,4,5.0,56,8.0,1,0,2,4
2008,2,9,4.0,1.0,14.0,1.0,1.0,24.0,1.0,Malaysia,5,4.0,56,3.0,1,0,2,5
2008,2,5,7.0,3.0,11.0,0.0,2.0,19.0,0.0,Malaysia,6,3.0,56,1.0,1,0,2,6
2008,2,6,8.0,11.0,2.0,0.0,7.0,2.0,0.0,Malaysia,7,2.0,56,12.0,1,0,2,7
