year,round,grid,qualifying_position,driver_standing_pos,driver_points_cum,driver_wins_cum,constructor_standing_pos,constructor_points_cum,constructor_wins_cum,country,podium,position_class,finish_pos_penalty,country_encoded,position_class_encoded
2008,1,1,1.0,1.0,10.0,1.0,1.0,14.0,1.0,Australia,1,0,1,1,0
2008,1,5,5.0,2.0,8.0,0.0,3.0,8.0,0.0,Australia,1,1,2,1,1
2008,1,7,7.0,3.0,6.0,0.0,2.0,9.0,0.0,Australia,1,1,3,1,1
2008,1,11,12.0,4.0,5.0,0.0,4.0,5.0,0.0,Australia,0,2,4,1,2
2008,1,3,3.0,5.0,4.0,0.0,1.0,14.0,1.0,Australia,0,2,5,1,2
2008,1,13,14.0,6.0,3.0,0.0,2.0,9.0,0.0,Australia,0,2,6,1,2
2008,1,17,18.0,7.0,2.0,0.0,5.0,2.0,0.0,Australia,0,2,7,1,2
2008,1,15,16.0,8.0,1.0,0.0,6.0,1.0,0.0,Australia,0,2,8,1,2
2008,1,2,2.0,,,,3.0,8.0,0.0,Australia,0,2,9,1,2
2008,1,18,9.0,,,,,,,Australia,0,2,10,1,2
2008,1,19,20.0,,,,,,,Australia,0,3,11,1,3
2008,1,20,21.0,,,,4.0,5.0,0.0,Australia,0,3,12,1,3
2008,1,4,4.0,,,,6.0,1.0,0.0,Australia,0,3,13,1,3
2008,1,8,8.0,,,,,,,Australia,0,3,14,1,3
2008,1,6,6.0,,,,,,,Australia,0,3,15,1,3
2008,1,22,19.0,,,,,,,Australia,0,3,16,1,3
2008,1,14,15.0,,,,,,,Australia,0,3,17,1,3
2008,1,12,13.0,,,,,,,Australia,0,3,18,1,3
2008,1,21,22.0,,,,,,,Australia,0,3,19,1,3
2008,1,9,10.0,,,,5.0,2.0,0.0,Australia,0,3,20,1,3
2008,1,16,17.0,,,,,,,Australia,0,3,20,1,3
2008,1,10,11.0,,,,,,,Australia,0,3,20,1,3
2008,2,2,2.0,2.0,11.0,1.0,3.0,11.0,1.0,Malaysia,1,0,1,16,0
2008,2,4,6.0,5.0,8.0,0.0,2.0,19.0,0.0,Malaysia,1,1,2,16,1
2008,2,8,3.0,4.0,10.0,0.0,1.0,24.0,1.0,Malaysia,1,1,3,16,1
2008,2,3,5.0,8.0,5.0,0.0,6.0,5.0,0.0,Malaysia,0,2,4,16,2
2008,2,9,4.0,1.0,14.0,1.0,1.0,24.0,1.0,Malaysia,0,2,5,16,2
2008,2,5,7.0,3.0,11.0,0.0,2.0,19.0,0.0,Malaysia,0,2,6,16,2
2008,2,6,8.0,11.0,2.0,0.0,7.0,2.0,0.0,Malaysia,0,2,7,16,2
2008,2,7,9.0,7.0,6.0,0.0,5.0,6.0,0.0,Malaysia,0,2,8,16,2
2008,2,12,12.0,12.0,0.0,0.0,7.0,2.0,0.0,Malaysia,0,2,9,16,2
2008,2,11,11.0,13.0,0.0,0.0,9.0,0.0,0.0,Malaysia,0,2,10,16,2
2008,2,13,13.0,14.0,0.0,0.0,5.0,6.0,0.0,Malaysia,0,3,11,16,3
2008,2,17,17.0,15.0,0.0,0.0,10.0,0.0,0.0,Malaysia,0,3,12,16,3
2008,2,14,14.0,16.0,0.0,0.0,9.0,0.0,0.0,Malaysia,0,3,13,16,3
2008,2,16,16.0,6.0,6.0,0.0,4.0,9.0,0.0,Malaysia,0,3,14,16,3
2008,2,21,22.0,17.0,0.0,0.0,11.0,0.0,0.0,Malaysia,0,3,15,16,3
2008,2,19,20.0,18.0,0.0,0.0,11.0,0.0,0.0,Malaysia,0,3,16,16,3
2008,2,22,18.0,9.0,3.0,0.0,4.0,9.0,0.0,Malaysia,0,3,17,16,3
2008,2,15,15.0,,,,8.0,2.0,0.0,Malaysia,0,3,18,16,3
2008,2,1,1.0,,,,3.0,11.0,1.0,Malaysia,0,3,19,16,3
2008,2,20,21.0,,,,10.0,0.0,0.0,Malaysia,0,3,20,16,3
2008,2,10,10.0,,,,6.0,5.0,0.0,Malaysia,0,3,20,16,3
2008,2,18,19.0,10.0,2.0,0.0,8.0,2.0,0.0,Malaysia,0,3,20,16,3
2008,3,2,2.0,6.0,10.0,1.0,2.0,29.0,2.0,Bahrain,1,0,1,4,0
2008,3,4,4.0,1.0,19.0,1.0,2.0,29.0,2.0,Bahrain,1,1,2,4,1
2008,3,1,1.0,4.0,14.0,0.0,1.0,30.0,0.0,Bahrain,1,1,3,4,1
2008,3,6,6.0,2.0,16.0,0.0,1.0,30.0,0.0,Bahrain,0,2,4,4,2
2008,3,5,5.0,5.0,14.0,0.0,3.0,28.0,1.0,Bahrain,0,2,5,4,2
2008,3,7,7.0,7.0,8.0,0.0,5.0,8.0,0.0,Bahrain,0,2,6,4,2
